Region/Country/Area		Year	Series	Value	Footnotes	Source
1	"Total, all countries or areas"	2005	Employment by industry: Agriculture (%) Male and Female	36.97	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2005	Employment by industry: Agriculture (%) Male and Female	36.97	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2005	Employment by industry: Industry (%) Male and Female	21.211	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2005	Employment by industry: Services (%) Male and Female	41.819	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2005	Employment by industry: Agriculture (%) Male	37.256	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2005	Employment by industry: Industry (%) Male	24.161	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2005	Employment by industry: Services (%) Male	38.584	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2005	Employment by industry: Agriculture (%) Female	36.531	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2005	Employment by industry: Industry (%) Female	16.678	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2005	Employment by industry: Services (%) Female	46.791	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2010	Employment by industry: Agriculture (%) Male and Female	33.045	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2010	Employment by industry: Industry (%) Male and Female	22.576	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2010	Employment by industry: Services (%) Male and Female	44.38	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2010	Employment by industry: Agriculture (%) Male	33.532	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2010	Employment by industry: Industry (%) Male	26.195	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2010	Employment by industry: Services (%) Male	40.272	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2010	Employment by industry: Agriculture (%) Female	32.284	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2010	Employment by industry: Industry (%) Female	16.931	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
1	"Total, all countries or areas"	2010	Employment by industry: Services (%) Female	50.785	Estimate.	"International Labour Organization (ILO), Geneva, Key Indicators of the Labour Market (KILM 9th edition) and the ILOSTAT database, last accessed January 2020."
