Region/Country/Area,,Year,Series,Value,Footnotes
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male and Female,36.97,Estimate.
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male and Female,36.97,Estimate.
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male and Female,21.211,Estimate.
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male and Female,41.819,Estimate.
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Male,37.256,Estimate.
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Male,24.161,Estimate.
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Male,38.584,Estimate.
1,"Total, all countries or areas",2005,Employment by industry: Agriculture (%) Female,36.531,Estimate.
1,"Total, all countries or areas",2005,Employment by industry: Industry (%) Female,16.678,Estimate.
1,"Total, all countries or areas",2005,Employment by industry: Services (%) Female,46.791,Estimate.
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male and Female,33.045,Estimate.
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male and Female,22.576,Estimate.
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male and Female,44.38,Estimate.
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Male,33.532,Estimate.
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Male,26.195,Estimate.
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Male,40.272,Estimate.
1,"Total, all countries or areas",2010,Employment by industry: Agriculture (%) Female,32.284,Estimate.
1,"Total, all countries or areas",2010,Employment by industry: Industry (%) Female,16.931,Estimate.
1,"Total, all countries or areas",2010,Employment by industry: Services (%) Female,50.785,Estimate.
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male and Female,28.872,Estimate.
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male and Female,23.161,Estimate.
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male and Female,47.968,Estimate.
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Male,29.624,Estimate.
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Male,27.252,Estimate.
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Male,43.123,Estimate.
1,"Total, all countries or areas",2015,Employment by industry: Agriculture (%) Female,27.686,Estimate.
1,"Total, all countries or areas",2015,Employment by industry: Industry (%) Female,16.715,Estimate.
1,"Total, all countries or areas",2015,Employment by industry: Services (%) Female,55.598,Estimate.
1,"Total, all countries or areas",2020,Employment by industry: Agriculture (%) Male and Female,26.48,Estimate.
1,"Total, all countries or areas",2020,Employment by industry: Industry (%) Male and Female,23.113,Estimate.
1,"Total, all countries or areas",2020,Employment by industry: Services (%) Male and Female,50.407,Estimate.
1,"Total, all countries or areas",2020,Employment by industry: Agriculture (%) Male,27.178,Estimate.
1,"Total, all countries or areas",2020,Employment by industry: Industry (%) Male,27.592,Estimate.
1,"Total, all countries or areas",2020,Employment by industry: Services (%) Male,45.23,Estimate.
1,"Total, all countries or areas",2020,Employment by industry: Agriculture (%) Female,25.376,Estimate.
1,"Total, all countries or areas",2020,Employment by industry: Industry (%) Female,16.03,Estimate.
1,"Total, all countries or areas",2020,Employment by industry: Services (%) Female,58.594,Estimate.
2,Africa,2005,Employment by industry: Agriculture (%) Male and Female,56.629,Estimate.
2,Africa,2005,Employment by industry: Industry (%) Male and Female,11.598,Estimate.
2,Africa,2005,Employment by industry: Services (%) Male and Female,31.773,Estimate.
2,Africa,2005,Employment by industry: Agriculture (%) Male,53.062,Estimate.
2,Africa,2005,Employment by industry: Industry (%) Male,14.516,Estimate.
2,Africa,2005,Employment by industry: Services (%) Male,32.423,Estimate.
2,Africa,2005,Employment by industry: Agriculture (%) Female,61.425,Estimate.
2,Africa,2005,Employment by industry: Industry (%) Female,7.675,Estimate.
2,Africa,2005,Employment by industry: Services (%) Female,30.899,Estimate.
2,Africa,2010,Employment by industry: Agriculture (%) Male and Female,53.444,Estimate.
2,Africa,2010,Employment by industry: Industry (%) Male and Female,12.22,Estimate.
2,Africa,2010,Employment by industry: Services (%) Male and Female,34.336,Estimate.
2,Africa,2010,Employment by industry: Agriculture (%) Male,50.439,Estimate.
2,Africa,2010,Employment by industry: Industry (%) Male,15.568,Estimate.
2,Africa,2010,Employment by industry: Services (%) Male,33.993,Estimate.
2,Africa,2010,Employment by industry: Agriculture (%) Female,57.492,Estimate.
2,Africa,2010,Employment by industry: Industry (%) Female,7.71,Estimate.
2,Africa,2010,Employment by industry: Services (%) Female,34.799,Estimate.
2,Africa,2015,Employment by industry: Agriculture (%) Male and Female,50.379,Estimate.
2,Africa,2015,Employment by industry: Industry (%) Male and Female,12.97,Estimate.
2,Africa,2015,Employment by industry: Services (%) Male and Female,36.652,Estimate.
2,Africa,2015,Employment by industry: Agriculture (%) Male,48.257,Estimate.
2,Africa,2015,Employment by industry: Industry (%) Male,16.563,Estimate.
2,Africa,2015,Employment by industry: Services (%) Male,35.18,Estimate.
2,Africa,2015,Employment by industry: Agriculture (%) Female,53.207,Estimate.
2,Africa,2015,Employment by industry: Industry (%) Female,8.179,Estimate.
2,Africa,2015,Employment by industry: Services (%) Female,38.614,Estimate.
