Name,Height,Weight,Country,Gender
"Abbadi, Ilyas",170,69,Algeria,M
"Abbate, Simona",171,64,Italy,W
"Abdelaal, Hesham",167,52,Egypt,M
"Abian, Pablo",177,78,Spain,M
"Abrantes, Arnaldo",184,78,Portugal,M
"Abril, Erika",158,47,Colombia,W
"Abshero, Ayele",168,62,Ethiopia,M
"Achara, Kieron",208,110,Team GB,M
"Achour, Dallal Merwa",176,45,Algeria,W
"Adam, Idrissa",178,79,Cameroon,M
"Adams, Lyukman",194,87,Russian Federation,M
"Adams, Nicola",164,51,Team GB,W
"Adcock, Chris",183,80,Team GB,M
"Adeoye, Margaret",162,65,Team GB,W
"Adlington, Rebecca",179,70,Team GB,W
"Afroudakis, Georgios",194,103,Greece,M
"Agamennoni, Luca",188,96,Italy,M
"Agrafioti, Anna",178,76,Greece,W
"Ahmed, Abdou Omar Abdou",172,66,Egypt,M
"Ahye, Michelle-Lee",160,64,Trinidad and Tobago,W
"Ainslie, Ben",183,90,Team GB,M
"Akrout, Youssef",180,78,Tunisia,M
"Alberto Francisca, Nely",178,81,Spain,W
"Aldama, Yamile",172,62,Team GB,W
"Alegre, Ramon",171,71,Spain,M
"Alibaba, Khalid",165,60,Bahrain,M
"Allegrini, Agnese",162,57,Italy,W
"Allen, Dominique",188,86,Team GB,W
"Allen, Elena",169,67,Team GB,W
"Allen, Joe",170,65,Team GB,M
"Allen, Sophie",170,65,Team GB,W
"ALLEYNE-FORTE, Ade",180,73,Trinidad and Tobago,M
"Almeida Campos, Manuel",163,60,Portugal,M
"Almeida, Carlos",182,87,Portugal,M
"Alozie, Anthony",171,79,Australian Olympic Team,M
"Aluko, Eniola",157,56,Team GB,W
"Alvear, Yuri",174,70,Colombia,W
"Amanova, Ranohon",174,61,Uzbekistan,W
"Andersen, David",212,102,Australian Olympic Team,M
"Anderson, Alyssa",173,64,Team USA,W
"Anderson, Rose",175,70,Team GB,W
"Ando, Shunsuke",185,79,Japan,M
"Andrades Mendoza, Marcia Yuleisi",165,55,Venezuela,W
"Andreeva, Viktoriia",189,76,Russian Federation,W
"Andryei, Tamir",181,80,Mongolia,M
"Antonov, Semen",202,97,Russian Federation,M
"Aranowski, Krystian",198,100,Poland,M
"Araujo, Adriana",169,60,Brazil,W
"Archibald, Robert",212,115,Team GB,M
"Ariyoshi, Saori",158,53,Japan,W
"Armitstead, Lizzie",168,57,Team GB,W
"Armstrong, Kristin",173,58,Team USA,W
"Asano, Sakiyo",164,60,Japan,W
"Asante, Anita",166,64,Team GB,W
"Asmerom, Yared",171,58,Eritrea,M
"Assefa, Sofia",168,53,Ethiopia,W
"Atkins, Derrick",185,88,Bahamas,M
"Atkinson, Amy",165,55,Guam,W
"Au, Hoi Shun Stephanie",171,60,Hong Kong,W
"Austin, James",188,100,Team GB,M
"Avdeeva, Anna",175,100,Russian Federation,W
"Awde, Daniel",182,82,Team GB,M
"Ayling, Louise",167,58,New Zealand,W
"Azuma, Yoshihiro",172,60,Japan,M
"Bachmann, Sebastian",182,71,Germany,M
"Back, Suyeon",173,61,South Korea,W
"Baddeley, Andrew",188,69,Team GB,M
"Badillo Diaz, Concepcion",171,62,Spain,W
"Baek, Il Joo",170,66,South Korea,W
"Baggaley, Andrew",180,71,Team GB,M
"Bahdanovich, Andrei",195,97,Belarus,M
"Baier, Maik",180,91,Germany,M
"Baillie, Tim",176,78,Team GB,M
"Baji, Balazs",192,83,Hungary,M
"Bakare, Oluwadamilola",197,93,Team GB,M
"Bakare, Peter",196,93,Team GB,M
"Baker, Yvette",170,55,Team GB,W
"Bale, Rob",174,69,Team GB,M
"Ball, Ashleigh",181,70,Team GB,W
"Balmy, Coralie",180,67,France,W
"Baltacha, Elena",175,70,Team GB,W
"Bankier, Imogen",167,65,Team GB,W
"Barbosa, Neide",178,78,Angola,W
"Bardis, Melanie",160,48,France,W
"Bardsley, Karen",181,69,Team GB,W
"Barlow, David",205,97,Australian Olympic Team,M
"Baroev, Khasan",188,120,Russian Federation,M
"Baroukh, Thomas",183,70,France,M
"Barroilhet, Gonzalo",193,94,Chile,M
"Barrow, Sarah",163,52,Team GB,W
"Bartlett, Laura",169,63,Team GB,W
"Bartley, Chris",178,73,Team GB,M
"Barzola, Miguel",172,54,Argentina,M
"BASHORE-SMEDLEY, Kayla",157,58,Team USA,W
"Bazayev, Assan",170,66,Kazakhstan,M
"Beattie, Lynne",182,65,Team GB,W
"Bechtolsheimer, Laura",169,56,Team GB,W
"Begu, Irina-Camelia",181,67,Romania,W
"Bekhit, Ahmed",171,62,Egypt,M
"Belkina, Olga",173,58,Russian Federation,W
"Bell, Katie",150,43,Team USA,W
"Bellamy, Craig",175,64,Team GB,M
"Benedetti, Nicola",198,88,Italy,M
"Bennett, Ryan",188,70,Team GB,M
"Benson, Craig",183,76,Team GB,M
"Bentley, Anna",180,70,Team GB,W
"Beresnyeva, Olga",174,72,Ukraine,W
"Berki, Krisztian",178,69,Hungary,M
"Bernard, Alain",196,90,France,M
"Bernardova, Sona",168,55,Czech Republic,W
"Bertelli, Maria",171,63,Team GB,W
"Bertrand, Ryan",180,73,Team GB,M
"Biagioli, Cecilia",165,52,Argentina,W
"Bindrich, Karsten",188,105,Germany,M
"Bingson, Amanda",165,91,Team USA,W
"Bithell, Stuart",186,80,Team GB,M
"Blagg, Alicia",167,60,Team GB,W
"Blanco, Cecilia",170,70,Spain,W
"Blas Jr, Ricardo",185,218,Guam,M
"Bleasdale, Holly",175,70,Team GB,W
"Bleasdale, Julia",167,46,Team GB,W
"Bledman, Keston",180,88,Trinidad and Tobago,M
"Bliznyuk, Anastasia",173,50,Russian Federation,W
"Boateng, Eric",211,114,Team GB,M
"Bohme, Marcus",211,115,Germany,M
"Bole, Grega",177,70,Slovenia,M
"Bolshakov, Sergey",190,90,Russian Federation,M
"Bolt, Usain",196,93,Jamaica,M
"BOND-WILLIAMS, Louise",169,59,Team GB,W
"Bonora, Georgia",161,51,Australian Olympic Team,W
"Boom, Lars",191,81,Netherlands,M
"Booth, Joshua",190,93,Australian Olympic Team,M
"Booth, Melanie",175,65,Canada,W
"BOS-DE KONING, BOS-de KONING Marcelien",175,62,Netherlands,W
"Bourke, Fiona",187,75,New Zealand,W
"Bouzaid, Alexandre",172,64,Senegal,M
"Boy, Philipp",172,65,Germany,M
"Boyle, Lauren",183,67,New Zealand,W
"Brabants, Tim",189,88,Team GB,M
"Bradley, Sophie",169,59,Team GB,W
"Bragg, Rachel",184,75,Team GB,W
"Braithwaite, Michael",189,91,Canada,M
"Brash, Scott",171,64,Team GB,M
